SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,FACE VALUE,Index,BSE_Security_Code,Listed_Company_Name,Ticker_Symbol,Official_Issuer_Name,Listing_Status,Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,Instrument,ISIN
,,,,,,,2412,532262,TCI Industries Ltd.,TCIIND,TCI Industries Ltd,Active,X ,10.0,INE920B01019,Equity,,,,,
,,,,,,,2413,532268,ACCELYA SOLUTIONS INDIA LIMITED,ACCELYA,Accelya Solutions India Ltd,Active,B ,10.0,INE793A01012,Equity,,,,,
,,,,,,,2414,532271,ORCHASP LIMITED,ORCHASP,Orchasp Ltd,Active,B ,2.0,INE215B01022,Equity,,,,,
,,,,,,,2415,532275,Landmarc Leisure Corporation Ltd.,LANDMARC,Landmarc Leisure Corporation Ltd,Active,XT,1.0,INE394C01023,Equity,,,,,
,,,,,,,2416,532281,HCL Technologies Ltd,HCLTECH,HCL Technologies Ltd,Active,A ,2.0,INE860A01027,Equity,,,,,
,,,,,,,2417,532284,TCFC Finance Ltd,TCFCFINQ,TCFC Finance Ltd,Active,X ,10.0,INE389D01013,Equity,,,,,
,,,,,,,2418,532285,Geojit Financial Services Limited,GEOJITFSL,Geojit Financial Services Ltd,Active,B ,1.0,INE007B01023,Equity,,,,,
,,,,,,,2419,532286,JINDAL STEEL LIMITED,JINDALSTEL,Jindal Steel Ltd,Active,A ,1.0,INE749A01030,Equity,,,,,
,,,,,,,2420,532290,BLB Limited,BLBLIMITED,BLB Ltd,Active,B ,1.0,INE791A01024,Equity,,,,,
,,,,,,,2421,532296,Glenmark Pharmaceuticals ltd,GLENMARK,Glenmark Pharmaceuticals Ltd,Active,A ,1.0,INE935A01035,Equity,,,,,
,,,,,,,2422,532300,Wockhardt Ltd,WOCKPHARMA,Wockhardt Ltd,Active,A ,5.0,INE049B01025,Equity,,,,,
,,,,,,,2423,532303,Integrated Hi-tech ltd.,INTEGHIT,Integrated Hitech Ltd,Active,X ,10.0,INE934A01012,Equity,,,,,
,,,,,,,2424,532304,KJMC Corporate Advisors (India) Ltd.,KJMCCORP,KJMC Corporate Advisors (India) Ltd,Active,X ,10.0,INE602C01011,Equity,,,,,
,,,,,,,2425,532305,Ind-Swift Laboratories Ltd.,INDSWFTLAB,Ind-Swift Laboratories Ltd,Active,B ,10.0,INE915B01019,Equity,,,,,
,,,,,,,2426,532309,GE Power India Limited,GVPIL,GE Power India Ltd,Active,B ,10.0,INE878A01011,Equity,,,,,
,,,,,,,2427,532310,Shree Rama Multi-tech Ltd.,SHREERAMA,Shree Rama Multi-Tech Ltd,Active,B ,5.0,INE879A01019,Equity,,,,,
,,,,,,,2428,532313,Mahindra Lifespace Developers Ltd.,MAHLIFE,Mahindra Lifespace Developers Ltd,Active,A ,10.0,INE813A01018,Equity,,,,,
,,,,,,,2429,532315,GROARC INDUSTRIES INDIA LIMITED,GROARC,Groarc Industries India Ltd,Active,XT,10.0,INE042B01012,Equity,,,,,
,,,,,,,2430,532320,Vaarad Ventures Ltd,VAARAD,Vaarad Ventures Ltd,Active,XT,1.0,INE418B01048,Equity,,,,,
,,,,,,,2431,532321,Zydus Lifesciences Limited,ZYDUSLIFE,Zydus Lifesciences Ltd,Active,A ,1.0,INE010B01027,Equity,,,,,
,,,,,,,2432,532323,Shiva Cement Ltd.,SHIVACEM,Shiva Cement Ltd,Active,X ,2.0,INE555C01029,Equity,,,,,
,,,,,,,2433,532324,Cinevista Limited,CINEVISTA,Cinevista Ltd,Active,B ,2.0,INE039B01026,Equity,,,,,
,,,,,,,2434,532326,Intense Technologies,INTENTECH,Intense Technologies Ltd-$,Active,B ,2.0,INE781A01025,Equity,,,,,
